HedgeDate,Product_Detail,Indicator,Budget,Part,Cap,Floor,Spec_Rate,Spread,Asset_Charge,Multiplier
7/3/2023,IUL08,INDEX,0.0548,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14,INDEX,0.0548,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14,INX150,0.0385,1.0000,0.0850,0.0150,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14,INXFEE,0.0305,1.0000,9.9999,0.0000,0.0000,0.1000,0.0000,0.0000
7/3/2023,IUL14,INXSPC,0.0535,1.0000,9.9999,0.0000,0.0750,0.0000,0.0000,0.0000
7/3/2023,IUL14B,INDEX,0.0435,1.0000,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14B,INX150,0.0263,1.0000,0.0600,0.0150,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14B,INXFEE,0.0267,1.0000,9.9999,0.0000,0.0000,0.1100,0.0000,0.0000
7/3/2023,IUL14B,INXSPC,0.0428,1.0000,9.9999,0.0000,0.0600,0.0000,0.0000,0.0000
7/3/2023,IUL19,INDEX,0.0548,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL19,INXFEE,0.0305,1.0000,9.9999,0.0000,0.0000,0.1000,0.0000,0.0000
7/3/2023,IUL19,INXHIM,0.0620,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
7/3/2023,IUL19,INXLOM,0.0620,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
7/3/2023,IUL21,MARPRT,0.0243,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL21,NASIDX,0.0554,1.0000,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL21,INDEX,0.0567,1.0000,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL21,INXFEE,0.0305,1.0000,9.9999,0.0000,0.0000,0.1000,0.0000,0.0000
7/3/2023,IUL21,INXHIM,0.0620,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
7/3/2023,IUL21,INXLOM,0.0620,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
7/3/2023,IUL23,MARPRT,0.0243,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL23,NASIDX,0.0544,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL23,INDEX,0.0558,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL23,INXFEE,0.0305,1.0000,9.9999,0.0000,0.0000,0.1000,0.0000,0.0000
7/3/2023,IUL23,INXHIM,0.0620,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
7/3/2023,IUL23,INXLOM,0.0620,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
7/3/2023,GIUL21,INDEX,0.0527,1.0000,0.0950,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,GIUL21,INXFEE,0.0267,1.0000,9.9999,0.0000,0.0000,0.1100,0.0000,0.0000
7/3/2023,GIUL21,MARPRT,0.0222,2.2000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,GIUL21,NASIDX,0.0511,1.0000,0.0950,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14NY,INDEX,0.0483,1.0000,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14NY,INX150,0.0288,1.0000,0.0650,0.0150,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14NY,INXFEE,0.0405,1.0000,9.9999,0.0000,0.0000,0.0775,0.0000,0.0000
7/3/2023,IUL14NY,INXSPC,0.0496,1.0000,9.9999,0.0000,0.0695,0.0000,0.0000,0.0000
7/3/2023,IUL14BNY,INDEX,0.0435,1.0000,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14BNY,INX150,0.0209,1.0000,0.0500,0.0150,0.0000,0.0000,0.0000,0.0000
7/3/2023,IUL14BNY,INXFEE,0.0354,1.0000,9.9999,0.0000,0.0000,0.0885,0.0000,0.0000
7/3/2023,IUL14BNY,INXSPC,0.0425,1.0000,9.9999,0.0000,0.0595,0.0000,0.0000,0.0000
8/1/2023,IUL08,INDEX,0.0556,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14,INDEX,0.0556,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14,INX150,0.0391,1.0000,0.0850,0.0150,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14,INXFEE,0.0361,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
8/1/2023,IUL14,INXSPC,0.0546,1.0000,9.9999,0.0000,0.0750,0.0000,0.0000,0.0000
8/1/2023,IUL14B,INDEX,0.0444,1.0000,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14B,INX150,0.0268,1.0000,0.0600,0.0150,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14B,INXFEE,0.0236,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
8/1/2023,IUL14B,INXSPC,0.0437,1.0000,9.9999,0.0000,0.0600,0.0000,0.0000,0.0000
8/1/2023,IUL19,INDEX,0.0556,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL19,INXFEE,0.0361,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
8/1/2023,IUL19,INXHIM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
8/1/2023,IUL19,INXLOM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
8/1/2023,IUL21,MARPRT,0.0243,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL21,NASIDX,0.0547,1.0000,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL21,INDEX,0.0575,1.0000,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL21,INXFEE,0.0361,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
8/1/2023,IUL21,INXHIM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
8/1/2023,IUL21,INXLOM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
8/1/2023,IUL23,MARPRT,0.0242,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL23,NASIDX,0.0537,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL23,INDEX,0.0566,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL23,INXFEE,0.0361,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
8/1/2023,IUL23,INXHIM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
8/1/2023,IUL23,INXLOM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
8/1/2023,GIUL21,INDEX,0.0535,1.0000,0.0950,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,GIUL21,INXFEE,0.0315,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
8/1/2023,GIUL21,MARPRT,0.0221,2.2000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,GIUL21,NASIDX,0.0505,1.0000,0.0950,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14NY,INDEX,0.0491,1.0000,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14NY,INX150,0.0294,1.0000,0.0650,0.0150,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14NY,INXFEE,0.0373,1.0000,9.9999,0.0000,0.0000,0.0775,0.0000,0.0000
8/1/2023,IUL14NY,INXSPC,0.0506,1.0000,9.9999,0.0000,0.0695,0.0000,0.0000,0.0000
8/1/2023,IUL14BNY,INDEX,0.0444,1.0000,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14BNY,INX150,0.0213,1.0000,0.0500,0.0150,0.0000,0.0000,0.0000,0.0000
8/1/2023,IUL14BNY,INXFEE,0.0322,1.0000,9.9999,0.0000,0.0000,0.0885,0.0000,0.0000
8/1/2023,IUL14BNY,INXSPC,0.0433,1.0000,9.9999,0.0000,0.0595,0.0000,0.0000,0.0000
9/1/2023,IUL08,INDEX,0.0544,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14,INDEX,0.0544,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14,INX150,0.0390,1.0000,0.0850,0.0150,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14,INXFEE,0.0451,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
9/1/2023,IUL14,INXSPC,0.0531,1.0000,9.9999,0.0000,0.0750,0.0000,0.0000,0.0000
9/1/2023,IUL14B,INDEX,0.0425,1.0000,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14B,INX150,0.0264,1.0000,0.0600,0.0150,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14B,INXFEE,0.0318,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
9/1/2023,IUL14B,INXSPC,0.0425,1.0000,9.9999,0.0000,0.0600,0.0000,0.0000,0.0000
9/1/2023,IUL19,INDEX,0.0544,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL19,INXFEE,0.0451,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
9/1/2023,IUL19,INXHIM,0.0634,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
9/1/2023,IUL19,INXLOM,0.0634,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
9/1/2023,IUL21,MARPRT,0.0222,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL21,NASIDX,0.0541,1.0000,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL21,INDEX,0.0565,1.0000,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL21,INXFEE,0.0451,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
9/1/2023,IUL21,INXHIM,0.0634,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
9/1/2023,IUL21,INXLOM,0.0634,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
9/1/2023,IUL23,MARPRT,0.0222,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL23,NASIDX,0.0531,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL23,INDEX,0.0555,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL23,INXFEE,0.0451,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
9/1/2023,IUL23,INXHIM,0.0634,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
9/1/2023,IUL23,INXLOM,0.0634,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
9/1/2023,GIUL21,INDEX,0.0521,1.0000,0.0950,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,GIUL21,INXFEE,0.0403,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
9/1/2023,GIUL21,MARPRT,0.0222,2.2000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,GIUL21,NASIDX,0.0497,1.0000,0.0950,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14NY,INDEX,0.0486,1.0000,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14NY,INX150,0.0316,1.0000,0.0700,0.0150,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14NY,INXFEE,0.0463,1.0000,9.9999,0.0000,0.0000,0.0775,0.0000,0.0000
9/1/2023,IUL14NY,INXSPC,0.0460,1.0000,9.9999,0.0000,0.0650,0.0000,0.0000,0.0000
9/1/2023,IUL14BNY,INDEX,0.0450,1.0000,0.0775,0.0000,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14BNY,INX150,0.0250,1.0000,0.0575,0.0150,0.0000,0.0000,0.0000,0.0000
9/1/2023,IUL14BNY,INXFEE,0.0417,1.0000,9.9999,0.0000,0.0000,0.0870,0.0000,0.0000
9/1/2023,IUL14BNY,INXSPC,0.0404,1.0000,9.9999,0.0000,0.0570,0.0000,0.0000,0.0000
10/2/2023,IUL08,INDEX,0.0541,1.0000,0.0975,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14,INDEX,0.0541,1.0000,0.0975,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14,INX150,0.0388,1.0000,0.0850,0.0150,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14,INXFEE,0.0409,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
10/2/2023,IUL14,INXSPC,0.0541,1.0000,9.9999,0.0000,0.0750,0.0000,0.0000,0.0000
10/2/2023,IUL14B,INDEX,0.0425,1.0000,0.0725,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14B,INX150,0.0263,1.0000,0.0600,0.0150,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14B,INXFEE,0.0362,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
10/2/2023,IUL14B,INXSPC,0.0433,1.0000,9.9999,0.0000,0.0600,0.0000,0.0000,0.0000
10/2/2023,IUL19,INDEX,0.0541,1.0000,0.0975,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL19,INXFEE,0.0409,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
10/2/2023,IUL19,INXHIM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
10/2/2023,IUL19,INXLOM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
10/2/2023,IUL21,MARPRT,0.0223,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL21,NASIDX,0.0538,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL21,INDEX,0.0561,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL21,INXFEE,0.0409,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
10/2/2023,IUL21,INXHIM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
10/2/2023,IUL21,INXLOM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
10/2/2023,IUL23,MARPRT,0.0223,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL23,NASIDX,0.0528,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL23,INDEX,0.0551,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL23,INXFEE,0.0409,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
10/2/2023,IUL23,INXHIM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
10/2/2023,IUL23,INXLOM,0.0626,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
10/2/2023,GIUL21,INDEX,0.0519,1.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,GIUL21,INXFEE,0.0362,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
10/2/2023,GIUL21,MARPRT,0.0223,2.2000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,GIUL21,NASIDX,0.0495,1.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14NY,INDEX,0.0485,1.0000,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14NY,INX150,0.0315,1.0000,0.0700,0.0150,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14NY,INXFEE,0.0421,1.0000,9.9999,0.0000,0.0000,0.0775,0.0000,0.0000
10/2/2023,IUL14NY,INXSPC,0.0469,1.0000,9.9999,0.0000,0.0650,0.0000,0.0000,0.0000
10/2/2023,IUL14BNY,INDEX,0.0449,1.0000,0.0775,0.0000,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14BNY,INX150,0.0250,1.0000,0.0575,0.0150,0.0000,0.0000,0.0000,0.0000
10/2/2023,IUL14BNY,INXFEE,0.0376,1.0000,9.9999,0.0000,0.0000,0.0870,0.0000,0.0000
10/2/2023,IUL14BNY,INXSPC,0.0411,1.0000,9.9999,0.0000,0.0570,0.0000,0.0000,0.0000
11/1/2023,IUL08,INDEX,0.0539,1.0000,0.0975,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14,INDEX,0.0539,1.0000,0.0975,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14,INX150,0.0386,1.0000,0.0850,0.0150,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14,INXFEE,0.0463,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
11/1/2023,IUL14,INXSPC,0.0529,1.0000,9.9999,0.0000,0.0750,0.0000,0.0000,0.0000
11/1/2023,IUL14B,INDEX,0.0421,1.0000,0.0725,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14B,INX150,0.0261,1.0000,0.0600,0.0150,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14B,INXFEE,0.0416,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
11/1/2023,IUL14B,INXSPC,0.0423,1.0000,9.9999,0.0000,0.0600,0.0000,0.0000,0.0000
11/1/2023,IUL19,INDEX,0.0539,1.0000,0.0975,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL19,INXFEE,0.0463,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
11/1/2023,IUL19,INXHIM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
11/1/2023,IUL19,INXLOM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
11/1/2023,IUL21,MARPRT,0.0222,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL21,NASIDX,0.0541,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL21,INDEX,0.0561,1.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL21,INXFEE,0.0463,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
11/1/2023,IUL21,INXHIM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
11/1/2023,IUL21,INXLOM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
11/1/2023,IUL23,MARPRT,0.0222,2.4000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL23,NASIDX,0.0530,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL23,INDEX,0.0550,1.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL23,INXFEE,0.0463,1.0000,9.9999,0.0000,0.0000,0.0800,0.0000,0.0000
11/1/2023,IUL23,INXHIM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0415,0.6000
11/1/2023,IUL23,INXLOM,0.0630,1.0000,0.1200,0.0000,0.0000,0.0000,0.0215,0.2400
11/1/2023,GIUL21,INDEX,0.0517,1.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,GIUL21,INXFEE,0.0416,1.0000,9.9999,0.0000,0.0000,0.0900,0.0000,0.0000
11/1/2023,GIUL21,MARPRT,0.0222,2.2000,9.9999,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,GIUL21,NASIDX,0.0496,1.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14NY,INDEX,0.0482,1.0000,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14NY,INX150,0.0313,1.0000,0.0700,0.0150,0.0000,0.0000,0.0000,0.0000
11/1/2023,IUL14NY,INXFEE,0.0476,1.0000,9.9999,0.0000,0.0000,0.0775,0.0000,0.0000
11/1/2023,IUL14NY,INXSPC,0.0459,1.0000,9.9999,0.0000,0.0650,0.0000,0.0000,0.0000
